         177186 function calls (176234 primitive calls) in 15.302 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   115/14    0.019    0.000    2.249    0.161 <frozen importlib._bootstrap>:1002(_find_and_load)
   109/60    0.006    0.000    0.634    0.011 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      212    0.014    0.000    0.025    0.000 <frozen importlib._bootstrap>:112(release)
      115    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:152(__init__)
      115    0.005    0.000    0.050    0.000 <frozen importlib._bootstrap>:156(__enter__)
      115    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:160(__exit__)
      212    0.028    0.000    0.039    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      113    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:185(cb)
       97    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
   171/17    0.004    0.000    2.107    0.124 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     1300    0.015    0.000    0.015    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
       93    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
      113    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:351(__init__)
      202    0.004    0.000    0.066    0.000 <frozen importlib._bootstrap>:385(cached)
      212    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:398(parent)
      112    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(has_location)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      112    0.025    0.000    0.112    0.001 <frozen importlib._bootstrap>:486(_init_module_attrs)
  112/110    0.007    0.000    0.293    0.003 <frozen importlib._bootstrap>:558(module_from_spec)
      113    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:58(__init__)
   112/17    0.025    0.000    2.130    0.125 <frozen importlib._bootstrap>:659(_load_unlocked)
      113    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:736(find_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      110    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:811(find_spec)
      212    0.024    0.000    0.027    0.000 <frozen importlib._bootstrap>:87(acquire)
      333    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap>:874(__enter__)
      333    0.018    0.000    0.020    0.000 <frozen importlib._bootstrap>:878(__exit__)
      113    0.032    0.000    0.467    0.004 <frozen importlib._bootstrap>:901(_find_spec)
   115/14    0.016    0.000    2.235    0.160 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       93    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1011(__init__)
       93    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1036(get_filename)
       93    0.010    0.000    0.088    0.001 <frozen importlib._bootstrap_external>:1041(get_data)
       93    0.003    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1160(__init__)
       16    0.007    0.000    0.171    0.011 <frozen importlib._bootstrap_external>:1171(create_module)
       16    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
     1266    0.067    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1266    0.040    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      186    0.019    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      372    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       20    0.002    0.000    0.031    0.002 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      289    0.008    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      551    0.009    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      110    0.016    0.000    0.391    0.004 <frozen importlib._bootstrap_external>:1374(_get_spec)
      110    0.003    0.000    0.394    0.004 <frozen importlib._bootstrap_external>:1406(find_spec)
      195    0.006    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       20    0.004    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1466(__init__)
      160    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      109    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      243    0.086    0.000    0.328    0.001 <frozen importlib._bootstrap_external>:1505(find_spec)
      175    0.007    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       20    0.003    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       20    0.001    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      129    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      186    0.027    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      109    0.005    0.000    0.062    0.001 <frozen importlib._bootstrap_external>:491(_get_cached)
       93    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       93    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       93    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       93    0.008    0.000    0.198    0.002 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      243    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      109    0.013    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      279    0.014    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       93    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:846(create_module)
    93/17    0.012    0.000    2.094    0.123 <frozen importlib._bootstrap_external>:849(exec_module)
       93    0.044    0.000    0.437    0.005 <frozen importlib._bootstrap_external>:921(get_code)
       20    0.002    0.000    0.011    0.001 <frozen zipimport>:63(__init__)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
